title,year,source,selection_criteria,status,comments
Material interactions with tangible tabletops: A pragmatist perspective,2014,Scopus,Study describing digital tabletop techniques,Accepted,
Enabling Tangible Interaction on Non-touch Displays with Optical Mouse Sensor and Visible Light Communication,2022,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
MP Remix: Relaxed WYSIWIS Immersive Interfaces for Mixed Presence Collaboration With 3D Content,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Tangible Tensors: An Interactive System for Grasping Trends in Biological Systems Modeling,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Tangible BioNets: Multi-Surface and Tangible Interactions for Exploring Structural Features of Biological Networks,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
SciSketch: a tabletop collaborative sketching system,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Novel interaction techniques based on a combination of hand and foot gestures in tabletop environments,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
The multi-touch SoundScape renderer,2008,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Visualization and User-Modeling for Browsing Personal Photo Libraries,2004,Springer Link,Study describing digital tabletop techniques,Accepted,
Gesture-Based Interactions on Multiple Large Displays with a Tabletop Interface,2007,Springer Link,Study describing digital tabletop techniques,Accepted,
Collaborative video searching on a tabletop,2006,Springer Link,Study describing digital tabletop techniques,Accepted,
u-Table: A Tabletop Interface for Multiple Users,2006,Springer Link,Study describing digital tabletop techniques,Accepted,
Shared Design Space: Sketching Ideas Using Digital Pens and a Large Augmented Tabletop Setup,2006,Springer Link,Study describing digital tabletop techniques,Accepted,
TMAR: Extension of a Tabletop Interface Using Mobile Augmented Reality,2008,Springer Link,Study describing digital tabletop techniques,Accepted,
A Tabletop Interface Using Controllable Transparency Glass for Collaborative Card-Based Creative Activity,2008,Springer Link,Study describing digital tabletop techniques,Accepted,
Vision-Based Projected Tabletop Interface for Finger Interactions,2007,Springer Link,Study describing digital tabletop techniques,Accepted,
A Multi-Agent System Approach for Interactive Table Using RFID,2010,Springer Link,Study describing digital tabletop techniques,Accepted,
Future Dining Table: Dish Recommendation Based on Dining Activity Recognition,2010,Springer Link,Study describing digital tabletop techniques,Accepted,
New Human-Computer Interactions Using Tangible Objects: Application on a Digital Tabletop with RFID Technology,2009,Springer Link,Study describing digital tabletop techniques,Accepted,
A Steerable Tangible Interface and Its Evaluation,2010,Springer Link,Study describing digital tabletop techniques,Accepted,
A Tabletop-Based Real-World-Oriented Interface,2011,Springer Link,Study describing digital tabletop techniques,Accepted,
Mojo iCuisine: The Design and Implementation of an Interactive Restaurant Tabletop Menu,2011,Springer Link,Study describing digital tabletop techniques,Accepted,
Trackable Interactive Multimodal Manipulatives: Towards a Tangible User Environment for the Blind,2012,Springer Link,Study describing digital tabletop techniques,Accepted,
TinkerLamp 2.0: Designing and Evaluating Orchestration Technologies for the Classroom,2012,Springer Link,Study describing digital tabletop techniques,Accepted,
Effects of a Tabletop Interface on the Co-construction of Concept Maps,2011,Springer Link,Study describing digital tabletop techniques,Accepted,
Multimedia Framework for Application of Spatial Auditory Information to Learning Materials,2013,Springer Link,Study describing digital tabletop techniques,Accepted,
MARIO: Mid-Air Augmented RealityInteraction with Objects,2013,Springer Link,Study describing digital tabletop techniques,Accepted,
Research on a Large Digital Desktop Integrated in a Traditional Environment for Informal Collaboration,2013,Springer Link,Study describing digital tabletop techniques,Accepted,
Towards Multimodal 3D Tabletop Interaction Using Sensor Equipped Mobile Devices,2013,Springer Link,Study describing digital tabletop techniques,Accepted,
Evaluation of a Soft-Surfaced Multi-touch Interface,2013,Springer Link,Study describing digital tabletop techniques,Accepted,
Detecting interaction above digital tabletops using a single depth camera,2013,Springer Link,Study describing digital tabletop techniques,Accepted,
MovemenTable: The Design of Moving Interactive Tabletops,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
In-Situ Occlusion Resolution for Hybrid Tabletop Environments,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
Around-Device Interactions: A Usability Study of Frame Markers in Acquisition Tasks,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
On the Integration of Tangible Elements with Multi-touch Surfaces for the Collaborative Creation of Concept Maps,2016,Springer Link,Study describing digital tabletop techniques,Accepted,
Tangible Mixed Reality On-Site: Interactive Augmented Visualisations from Architectural Working Models in Urban Design,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
Tangible Voting: A Technique for Interacting with Group Choices on a Tangible Tabletop,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
Multi-tabletop System to Support Collaborative Design Assessment,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
Hexart: Smart Merged Touch Tables,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
RFID interactive tabletop application with tangible objects: exploratory study to observe young children’ behaviors,2015,Springer Link,Study describing digital tabletop techniques,Accepted,
Evaluating the effectiveness of spatial augmented reality in smart manufacturing: a solution for manual working stations,2017,Springer Link,Study describing digital tabletop techniques,Accepted,
ImmertableApp: Interactive and Tangible Learning Music Environment,2016,Springer Link,Study describing digital tabletop techniques,Accepted,
Side-by-Side Human–Computer Design Using a Tangible User Interface,2019,Springer Link,Study describing digital tabletop techniques,Accepted,
Visualization techniques for circular tabletop interfaces,2002,Scopus,Study describing digital tabletop techniques,Accepted,
A slim tabletop interface based on high resolution LCD screens with multiple cameras,2010,Scopus,Study describing digital tabletop techniques,Accepted,
UbiTable: Impromptu face-to-face collaboration on horizontal interactive surfaces,2003,Scopus,Study describing digital tabletop techniques,Accepted,
A 2D-3D integrated tabletop environment for multi-user collaboration,2007,Scopus,Study describing digital tabletop techniques,Accepted,
Transparent tabletop interface for multiple users on Lumisight Table,2006,Scopus,Study describing digital tabletop techniques,Accepted,
Combinatorix: A tangible user interface that supports collaborative learning of probabilities,2012,Scopus,Study describing digital tabletop techniques,Accepted,
Tangible 3D tabletops: Combining tangible tabletop interaction and 3D projection,2012,Scopus,Study describing digital tabletop techniques,Accepted,
Research on the tangible tabletop interaction system based on the optical sensors,2011,Scopus,Study describing digital tabletop techniques,Accepted,
A slim and wide multi-touch tabletop interface and its applications,2014,Scopus,Study describing digital tabletop techniques,Accepted,
Towards fast multi-point force and hit detection in tabletops using mechanically intercoupled force sensing resistors,2012,Scopus,Study describing digital tabletop techniques,Accepted,
MisTable: Reach-through personal screens for tabletops,2014,Scopus,Study describing digital tabletop techniques,Accepted,
A slim hybrid multi-touch tabletop interface with a high definition LED display and multiple cameras,2012,Scopus,Study describing digital tabletop techniques,Accepted,
PeriTop: Extending back-projected tabletops with top-projected peripheral displays,2013,Scopus,Study describing digital tabletop techniques,Accepted,
AR Tabletop Interface using a Head-Mounted Projector,2017,Scopus,Study describing digital tabletop techniques,Accepted,
Eye-tracking volume simulation method to configure hardware settings for tangible and multi-user tabletop interaction,2013,Scopus,Study describing digital tabletop techniques,Accepted,
Transparent electrostatic actuator with mesh-structured electrodes for driving tangible icon in tabletop interface,2014,Scopus,Study describing digital tabletop techniques,Accepted,
MakeBronze: An interactive system to promote Chinese bronze culture in children through hands-on experience with lost-wax casting,2024,Science@Direct,Study describing digital tabletop techniques,Accepted,
A Novel Workbench for Collaboratively Constructing 3D Virtual Environment,2018,Science@Direct,Study describing digital tabletop techniques,Accepted,
Low-fidelity prototyping with simple collaborative tabletop computer-aided design systems,2018,Science@Direct,Study describing digital tabletop techniques,Accepted,
Browsing museum image collections on a multi-touch table,2012,Science@Direct,Study describing digital tabletop techniques,Accepted,
Pen and paper techniques for physical customisation of tabletop interfaces,2008,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
A Table-Top Interface for Real-Time Coaching in Abacus Learning,2024,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
A system to recommend dishes by the real time recognition of dining activity,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
ARmy: A study of multi-user interaction in spatially augmented games,2012,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Learning Environment based on an Interactive Projection Table for Children,2021,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
T3: Rapid Prototyping of High-Resolution and Mixed-Presence Tabletop Applications,2007,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Hand gesture interaction using color-based method for tabletop interfaces,2011,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
PapARt: Interactive 3D graphics and multi-touch augmented paper for artistic creation,2012,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Paper-top interface for supporting note-taking and its preliminary experiment,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Preparing for Future Learning with a Tangible User Interface: The Case of Neuroscience,2013,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
"MultiSpace: enabling electronic document micro-mobility in table-centric, multi-device environments",2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
GeoGate: Correlating Geo-Temporal Datasets Using an Augmented Reality Space-Time Cube and Tangible Interactions,2019,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
TViews: An Extensible Architecture for Multiuser Digital Media Tables,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
InfrActables: Multi-User Tracking System for Interactive Surfaces,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
A-CUBE: A Tangible Tabletop Application to Support Safe and Independent Chemistry Experiments,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
GAINE — tanGible augmented interaction for edutainment,2015,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Integrating Point and Touch for Interaction with Digital Tabletop Displays,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Haptic u-Table: A Believable Feedback System with a Quasi-tangible Tabletop Interface,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Design and implementation of multi-touch system using FTIR technique for optimization of finger touch detection,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
coisTable: An Individual-and-Spatial-Aware Tabletop System for Co-located Collaboration,2020,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
BrainExplorer: an innovative tool for teaching neuroscience,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
StoryGrid: a tangible interface for student expression,2005,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
3D Tabletop User Interface with High Synchronization Accuracy using a High-speed Stereo Camera,2015,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
ThinSight: a thin form-factor interactive surface technology,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
At home with surface computing?,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
SLAP widgets: bridging the gap between virtual and physical controls on tabletops,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Interactive Coupling of Process Models: A Distributed Tabletop Approach to Collaborative Modeling,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
The music pattern: A creative tabletop music creation platform,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
An asymmetric collaborative system for architectural-scale space design,2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Understanding Collaborative Decision Making Around a Large-Scale Interactive Tabletop,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Permulin: collaboration on interactive surfaces with personal in- and output,2013,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
PuzzleTale: A tangible puzzle game for interactive storytelling,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
RoboTable: a tabletop framework for tangible interaction with robots in a mixed reality,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Adaptive personal territories for co-located tabletop interaction in a museum setting,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
PhotoelasticTouch: transparent rubbery tangible interface using an LCD and photoelasticity,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
GhostID: Enabling Non-Persistent User Differentiation in Frequency-Division Capacitive Multi-Touch Sensors,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
SkyAnchor: Optical Design for Anchoring Mid-air Images onto Physical Objects,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Ketsuro-Graffiti: An Interactive Display with Water Condensation,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Permulin: mixed-focus collaboration on multi-view tabletops,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
The reacTable: exploring the synergy between live music performance and tabletop tangible interfaces,2007,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
A low-cost infrastructure for tabletop games,2008,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
ClipWorks: a tangible interface for collaborative video editing,2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Tangible 3D urban simulation table,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
The reactable: tangible and tabletop music performance,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Interactive 360-Degree Glasses-Free Tabletop 3D Display,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Augmented reality and tangible user interfaces integration for enhancing the user experience,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Physical space and division of labor around a tabletop tangible simulation,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
CoDa: Collaborative Data Interpretation Through an Interactive Tangible Scatterplot,2020,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Figaro: A Tabletop Authoring Environment for Human-Robot Interaction,2021,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Bridging the cross-cultural language divide through design,2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Spatially aware tangible display interaction in a tabletop environment,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
An interaction on a flat panel display using a planar 1-DOF electrostatic actuator,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Expressive touch: studying tapping force on tabletops,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
TangibleGrid: Tangible Web Layout Design for Blind Users,2022,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Tangible tabletops for emergency response: an exploratory study,2013,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Exploring the Layered Use of Transparent Display on a Large Tabletop Display,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Tangible interactions on a flat panel display using actuated paper sheets,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
The reacTable: a tangible tabletop musical instrument and collaborative workbench,2006,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
"Kawalu\""{u}: Macro Environment for Collaborative Surface with Dynamic Parameters using Tangible Objects",2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
AR Tabletop Interface Using an Optical See-Through HMD,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Painting an Apple with an Apple: A Tangible Tabletop Interface for Painting with Physical Objects,2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Pop-up digital tabletop: seamless integration of 2D and 3D visualizations in a tabletop environment,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Analysing engaging experiences with a tangible 3D tabletop,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Towards a Mixed-Reality Interface for Mind-Mapping,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Tangible anchoring: Grasping news and public opinion,2010,Scopus,Study describing digital tabletop techniques,Accepted,
The 3D Tractus: a three-dimensional drawing board,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
CrosSI: A Novel Workspace with Connected Horizontal and Vertical Interactive Surfaces,2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
TryFilm: Situated Support for Interactive Media Productions,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
The EventTable technique: distributed fiducial markers,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Dynamic Tangible User Interface Palettes,2013,Springer Link,Study describing digital tabletop techniques,Accepted,
RAMPARTS: Supporting Sensemaking with Spatially-Aware Mobile Interactions,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Sketch-Play-Learn - An Augmented Paper Based Environment for Learning the Concepts of Optics,2015,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Immertable: a configurable and customizable tangible tabletop for audiovisual and musical control,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Development of eye-tracking tabletop interface for media art works,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Bonfire: a nomadic system for hybrid laptop-tabletop interaction,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
The ColorTable: a design story,2008,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
ZeroN: mid-air tangible interaction enabled by computer controlled magnetic levitation,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
KitVision toolkit: supporting the creation of cognitive activities for tangible tabletop devices,2019,Springer Link,Study describing digital tabletop techniques,Accepted,
Jamming user interfaces: programmable particle stiffness and sensing for malleable and shape-changing devices,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,"Muito não ortodoxo, a mesa é feita de um material maleavel."
Projectron mapping: the exercise and extension of augmented workspaces for learning electronic modeling through projection mapping,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Experiences with building a thin form-factor touch and tangible tabletop,2008,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
Toward Universal Tangible Objects: Optimizing Haptic Pinching Sensations in 3D Interaction,2019,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,
TangiTime: designing a (socio)enactive experience for deep time in an educational exhibit,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
OverTop: Breaking the Boundaries of Tangible Tabletop Environments,2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,
Believable interaction with a quasi-tangible tabletop interface,2007,Scopus,Study evaluating digital tabletop techniques,Accepted,
Tables in the wild: Lessons learned from a large-scale multi-tabletop deployment,2013,Scopus,Study evaluating digital tabletop techniques,Accepted,SMART tables
Effects of Viewing Conditions and Rotation Methods in a Collaborative Tabletop AR Environment,2011,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
Improving Menu Interaction for Cluttered Tabletop Setups with User-Drawn Path Menus,2007,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
Multi-user interface and interactions on direct-touch horizontal surfaces: collaborative tabletop research at MERL,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
Understanding flicking on curved surfaces,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Touchers and mousers: commonalities and differences in co-located collaboration with multiple input devices,2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Exploring the effects of group size and table size on interactions with tabletop shared-display groupware,2004,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Collaborative coupling over tabletop displays,2006,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Group interaction on interactive multi-touch tables by children in India,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Collaboration and interference: awareness with mice or touch input,2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Understanding the Attention Demand of Touch and Tangible Interaction on a Composite Task,2019,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Reducing the Cognitive Load of Playing a Digital Tabletop Game with a Multimodal Interface,2022,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Engaging families around museum exhibits: Comparing tangible and multi-touch interfaces,2020,Scopus,Study evaluating digital tabletop techniques,Accepted,
A Comparative Study on Inter-Device Interaction: One-Handed Interaction VS Two-Handed Interaction,2016,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Hxi: research down under in distributed intense collaboration between teams,2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Around the table: are multiple-touch surfaces better than single-touch for children's collaborative interactions?,2009,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
The TViews Table in the Home,2007,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
Evaluation of Content Handling Methods for Tabletop Interface,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Toward understanding the importance of gesture in distributed scientific collaboration,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Strategic Tabletop Negotiations,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Computer-Supported Creativity: Evaluation of a Tabletop Mind-Map Application,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Interaction on the Tabletop: Bringing the Physical to the Digital,2010,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Investigating Temporal-Spatial Characteristics of Mouse and Touch Input,2009,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Investigating Pointing Tasks across Angularly Coupled Display Areas,2013,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Interactions around a Multi-touch Tabletop: A Rapid Ethnographic Study in a Museum,2014,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Tangible mixed reality for remote design review: a study understanding user perception and acceptance,2013,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Evaluating the Socioenactive Experience with a Tangible Tabletop Installation: A Case Study,2020,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Tabletop Interface Design: Developing and Using Usability Heuristics,2021,Springer Link,Study evaluating digital tabletop techniques,Accepted,
Interactive tabletops with non-interactive rims,2010,Scopus,Study evaluating digital tabletop techniques,Accepted,
Communicative behaviors and flow experience in tabletop gaming,2009,Scopus,Study evaluating digital tabletop techniques,Accepted,
Design and evaluation of graphical feedback on tangible interactions in a low-resolution edge display,2019,Scopus,Study evaluating digital tabletop techniques,Accepted,
Interacting with mouse and touch devices on horizontal interactive displays,2012,Scopus,Study evaluating digital tabletop techniques,Accepted,
Pointing gestures accelerate collaborative problem-solving on tangible user interfaces,2025,Scopus,Study evaluating digital tabletop techniques,Accepted,
A large effective touchscreen using a head-mounted projector,2018,Scopus,Study evaluating digital tabletop techniques,Accepted,
Search on surfaces: Exploring the potential of interactive tabletops for collaborative search tasks,2010,Science@Direct,Study evaluating digital tabletop techniques,Accepted,
Guidelines to design tangible tabletop activities for children with attention deficit hyperactivity disorder,2019,Science@Direct,Study evaluating digital tabletop techniques,Accepted,
Physical dimensions of children's touchscreen interactions: Lessons from five years of study on the MTAGIC project,2019,Science@Direct,Study evaluating digital tabletop techniques,Accepted,
Mediating Group Dynamics through Tabletop Interface Design,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
When the fingers do the talking: A study of group participation with varying constraints to a tabletop interface,2008,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
Affordances for manipulation of physical versus digital media on interactive surfaces,2007,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Understanding designer brainstorms: the effect of analog and digital interfaces on dominance,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Exploring tabletops as an effective tool to foster creativity traits,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Microsoft Surface
Analysing the effect of tangibile user interfaces on spatial memory,2017,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Harnessing the benefits of bimanual and multi-finger input for supporting grouping tasks on interactive tabletops,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Microsoft Surface
"Touch, click, navigate: comparing tabletop and desktop interaction for map navigation tasks",2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
The Influence of Multi-Touch Interaction on Procedural Training,2015,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
LaserFoot: 6-DOF Tracking method over an Optical Touchscreen,2016,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Comparing Tangible and Multi-touch Interaction for Interactive Data Visualization Tasks,2016,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Collaborating around vertical and horizontal large interactive displays: which way is best?,2004,Science@Direct,Study evaluating digital tabletop techniques,Accepted,
Interview approaches to researching embodiment,2013,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Supporting Effective Interaction with Tabletop Groupware,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
Experiences with and observations of direct-touch tabletops,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
Localisation and Interaction for Augmented Maps,2005,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Experimental Findings on Collaborative Interactions in a Co-Located Environment,2005,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,
The effects of interaction techniques on talk patterns in collaborative peer learning around interactive tables,2011,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Exploring tangible and direct touch interfaces for manipulating 2D and 3D information on a digital table,2009,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Direct-touch vs. mouse input for tabletop displays,2007,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
"Are tangibles more fun? comparing children's enjoyment and engagement using physical, graphical and tangible user interfaces",2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
Comparing a Single-Touch Whiteboard and a Multi-Touch Tabletop for Collaboration in School Museum Visits,2018,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,
"SurfaceCast: Ubiquitous, Cross-Device Surface Sharing",2023,ACM Digital Library,Duplicate papers,Duplicated,
Theories of Embodiment,2022,ACM Digital Library,Duplicate papers,Duplicated,
TeamTag: Exploring centralized replicated controls for Co-located tabletop groupware,2006,Scopus,Duplicate papers,Duplicated,
Instruction Pictograms for Interactive Entertainment,2021,Springer Link,Duplicate papers,Duplicated,
"U Table: A seamlessly tiled, very large interactive tabletop system",2011,Scopus,Duplicate papers,Duplicated,
A slim and large tabletop interface,2015,Scopus,Duplicate papers,Duplicated,
A collaborative design coordination framework based on an interaction analysis around a digital tabletop,2014,Scopus,Duplicate papers,Duplicated,
Mobitop: Interactions employed by users when using a collocated ad-hoc collaboration application,2015,Scopus,Duplicate papers,Duplicated,
Physical interfaces for tabletop games,2010,ACM Digital Library,Duplicate papers,Duplicated,
FeelSound: collaborative composing of acoustic music,2009,ACM Digital Library,Duplicate papers,Duplicated,
Paths Forward: Aspirations for TEI,2022,ACM Digital Library,Duplicate papers,Duplicated,
TEI in the Wild,2022,ACM Digital Library,Duplicate papers,Duplicated,
Evaluating TEI,2022,ACM Digital Library,Duplicate papers,Duplicated,
Tangible 3D tabletops,2014,ACM Digital Library,Duplicate papers,Duplicated,
Permulin: personal in- and output on interactive surfaces,2013,ACM Digital Library,Duplicate papers,Duplicated,
Supporting casual interactions between board games on public tabletop displays and mobile devices,2009,Springer Link,,Duplicated,
Computer Music Languages and Systems: The Synergy Between Technology and Creativity,2016,Springer Link,,Duplicated,
Natural Interaction,2016,Springer Link,,Duplicated,
Natural Interaction,2018,Springer Link,,Duplicated,
Tangible Objects and Mobile Technology: Interactive Learning Environments for Students with Learning Disabilities,2019,Springer Link,,Duplicated,
Collaborative Environments for Augmented and Virtual Reality Applications,2024,Springer Link,,Duplicated,
Pointing gestures accelerate collaborative problem-solving on tangible user interfaces,2024,Springer Link,,Duplicated,
Empowering soft skills in children with ADHD through the co-creation of tangible tabletop games,2023,Springer Link,,Duplicated,
Table-centric interactive spaces for real-time collaboration,2006,Scopus,,Duplicated,
New human-computer interactions using tangible objects: Application on a digital tabletop with RFID technology,2009,Scopus,,Duplicated,
Rotation and translation mechanisms for tabletop interaction,2006,Scopus,,Duplicated,
Evaluating the effects of fluid interface components on tabletop collaboration,2006,Scopus,,Duplicated,
Tabletop sharing of digital photographs for the elderly,2006,Scopus,,Duplicated,
APDT: An agile planning tool for digital tabletops,2008,Scopus,,Duplicated,
Enabling tangible interaction on capacitive touch panels,2010,Scopus,,Duplicated,
Collaborative coupling over tabletop displays,2006,Scopus,,Duplicated,
TMAR: Extension of a tabletop interface using mobile augmented reality,2008,Scopus,,Duplicated,
Arrange-a-space: Tabletop interfaces and gender collaboration,2011,Scopus,,Duplicated,
Strategic tabletop negotiations,2007,Scopus,,Duplicated,
A tangible tabletop game supporting therapy of children with cerebral palsy,2008,Scopus,,Duplicated,
