title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Management of Distributed RFID Surfaces: A Cooking Assistant for Ambient Computing in Kitchen,2014.0,Science@Direct,Study describing digital tabletop techniques,Accepted,,Embedded,Tangible-Tokens,Tangibility,Usuário único,,
Management of distributed collaborative learning environments based on a concept map paradigm and natural interfaces,2013.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pure-Vision-Based,Multi-touch,Colaboração presencial,,
MapTable: a tactical command and control interface,2006.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,
Mapping Place: Supporting Cultural Learning through a Lukasa-inspired Tangible Tabletop Museum Exhibit,2015.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Multi-touch,Colaboração presencial,,
Material interactions with tangible tabletops: A pragmatist perspective,2014.0,Scopus,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,"Colaboração presencial, Usuário único",Radar Table,52”
Media Crate: tangible live media production interface,2009.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Pure-Vision-Based,"Multi-touch, Tangibility",Usuário único,,
Mediating Group Dynamics through Tabletop Interface Design,2006.0,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
"Mine, Yours, Ours: Coordination through Workspace Arrangements and Territoriality in Tabletop Interaction",2018.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,65”
MisTable: Reach-through personal screens for tabletops,2014.0,Scopus,Study describing digital tabletop techniques,Accepted,,"Rear-Projected, Front-Projected",Sensor-Assisted-Vision-Based,"Gesture, Multi-touch",Colaboração presencial,,
Mixed reality based interaction system for digital heritage,2016.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,107”
MoClo planner: Interactive visualization for Modular Cloning bio-design,2013.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
MobiTop: Interactivity Issues in a Multi-Mobile System,2016.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Embedded, Multi-Device",Electrical-Based,Multi-touch,Colaboração presencial,,
Mojo iCuisine: The Design and Implementation of an Interactive Restaurant Tabletop Menu,2011.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Touch,Colaboração presencial,,
