title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa,doi
A low-cost infrastructure for tabletop games,2008,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1496984.1497008
A Multi-Agent System Approach for Interactive Table Using RFID,2010,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),,10.1007/978-3-642-12384-9_16
A multimodal approach to examining 'embodiment' in tangible learning environments,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,,10.1145/2460625.2460632
A Novel Workbench for Collaboratively Constructing 3D Virtual Environment,2018,Science@Direct,Study describing digital tabletop techniques,Accepted,,"Embedded, Multi-Device, Rear-Projected",Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,,https://doi.org/10.1016/j.procs.2018.03.075
A Resilient Interaction Concept for Process Management on Tabletops for Cyber-Physical Systems,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1007/978-3-319-07863-2_34
A single-user tabletop card game system for older persons: General lessons learned from an in-situ study,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Touch,Usuário único,,19”,10.1109/TABLETOP.2008.4660188
A slim and wide multi-touch tabletop interface and its applications,2014,Scopus,Study describing digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1109/BIGCOMP.2014.6741452
A slim hybrid multi-touch tabletop interface with a high definition LED display and multiple cameras,2012,Scopus,Study describing digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,"47""",10.1109/ICCE.2012.6161836
A slim tabletop interface based on high resolution LCD screens with multiple cameras,2010,Scopus,Study describing digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1145/1936652.1936696
A Steerable Tangible Interface and Its Evaluation,2010,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1007/978-3-642-16355-5_13
A system to recommend dishes by the real time recognition of dining activity,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1109/ICSMC.2010.5641941
A Table-Top Interface for Real-Time Coaching in Abacus Learning,2024,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1109/SMARTCOMP61445.2024.00056
A Tabletop Board Game Interface for Multi-user Interaction with a Storytelling System,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,"The multi-touch table used in this research makes use of an ordinary video
projector, non-diffuse IR-beams, and an average webcam",Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1007/978-3-642-30214-5_14
