article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Development of eye-tracking tabletop interface for media art works,2010,Projetor superior,"Caneta, Eye-Tracking, Sensor infravermelho","Gaze, Tangibility",Colaboração presencial,,
Mapping Place: Supporting Cultural Learning through a Lukasa-inspired Tangible Tabletop Museum Exhibit,2015,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Multi-touch,Colaboração presencial,,
Exploring Interactions with Tangible and Actuated Tokens on a Shared Tabletop for Railway Traffic Management Control Centres,2025,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
The design of t-vote: a tangible tabletop application supporting children's decision making,2011,Embutido,Toque,Multi-touch,Colaboração presencial,,
Introducing the Smart City to Children with a Tangible Interaction Table: Expliquer la ville intelligente aux enfants avec une table d’interaction tangible,2021,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
Weathergods: tangible interaction in a digital tabletop game,2007,Embutido,"Tokens tangíveis, Toque","Tangibility, Touch",Colaboração presencial,,
"Kawalu\""{u}: Macro Environment for Collaborative Surface with Dynamic Parameters using Tangible Objects",2018,Projetor superior,"Caneta, Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Futura: design for collaborative learning and game play on a multi-touch digital tabletop,2011,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,48”
Enabling Tangible Interaction on Non-touch Displays with Optical Mouse Sensor and Visible Light Communication,2022,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,,
Tangible interactions on a flat panel display using actuated paper sheets,2012,Embutido,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
The reacTable: a tangible tabletop musical instrument and collaborative workbench,2006,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Comparing the Tangible Tutorial System and the Human Teacher in Intangible Cultural Heritage Education,2020,Projetor superior,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility",Usuário único,,
Exploring the Layered Use of Transparent Display on a Large Tabletop Display,2016,Projetor inferior,"Sensor infravermelho, Toque",Multi-touch,Colaboração presencial,,
Supporting Situation Awareness in Collaborative Tabletop Systems with Automation,2014,Embutido,Toque,Multi-touch,Colaboração presencial,,69”
Tangible Reels: Construction and Exploration of Tangible Maps by Visually Impaired Users,2016,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility",Colaboração presencial,,39”
Truesight Battle Grid - Enhancing the Game Experience of Tabletop Role-Playing through Tangible Data Visualization,2020,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,,
Tangible tabletops for emergency response: an exploratory study,2013,Embutido,"Caneta, Tokens tangíveis",Tangibility,Colaboração presencial,,
Tangible bots: interaction with active tangibles in tabletop interfaces,2011,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility",Colaboração presencial,,
Keeping up appearances: interpretation of tangible artifact design,2004,Projetor inferior,Tokens tangíveis,Tangibility,Colaboração presencial,,
TangibleGrid: Tangible Web Layout Design for Blind Users,2022,,Tokens tangíveis,Tangibility,Usuário único,,
Firestorm: a brainstorming application for collaborative group work at tabletops,2011,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,46”
Embodied Machine Learning,2024,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,
Media Crate: tangible live media production interface,2009,Projetor inferior,Visão computacional,"Multi-touch, Tangibility, Touch",Usuário único,,
Expressive touch: studying tapping force on tabletops,2014,Projetor inferior,"Ondas sonoras, Sensor infravermelho, Visão computacional",Multi-touch,Usuário único,,
Analysing engaging experiences with a tangible 3D tabletop,2014,"Projetor inferior, Projetor superior",Visão computacional,Tangibility,Colaboração presencial,,
Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching,2023,Headset,"Tokens tangíveis, Visão computacional","Gesture, Tangibility",Usuário único,,
An interaction on a flat panel display using a planar 1-DOF electrostatic actuator,2011,Embutido,Tokens tangíveis,Tangibility,Usuário único,,
Understanding file access mechanisms for embedded Ubicomp collaboration interfaces,2009,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,46”
Spatially aware tangible display interaction in a tabletop environment,2012,"Projetor inferior, Projetor superior",Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Comparing a Single-Touch Whiteboard and a Multi-Touch Tabletop for Collaboration in School Museum Visits,2018,Embutido,Toque,Multi-touch,Colaboração presencial,,46”
Exploring tabletop file system interaction,2007,Projetor superior,"Caneta, Sensor infravermelho","Gesture, Tangibility",Colaboração presencial,,
Recognizing Unintentional Touch on Interactive Tabletop,2020,Embutido,"Eye-Tracking, Toque","Gaze, Multi-touch",Usuário único,,102”
Tangible interaction in tabletop games: studying iconic and symbolic play pieces,2007,Embutido,"Tokens tangíveis, Toque","Tangibility, Touch",Colaboração presencial,,
Players and Performance: Opportunities for Social Interaction with Augmented Tabletop Games at Centres for Children with Autism,2022,Projetor superior,"Tokens tangíveis, Toque, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Bridging the cross-cultural language divide through design,2018,Embutido,"Ondas sonoras, Toque","Multi-touch, Speech, Touch",Colaboração presencial,,
Active Pathways: Using Active Tangibles and Interactive Tabletops for Collaborative Modeling in Systems Biology,2016,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,53”
Figaro: A Tabletop Authoring Environment for Human-Robot Interaction,2021,Projetor inferior,"Ondas sonoras, Sensor infravermelho","Multi-touch, Speech, Tangibility, Touch",Colaboração presencial,,
Tangible navigation and object manipulation in virtual environments,2009,Projetor inferior,Visão computacional,"Multi-touch, Tangibility, Touch",Colaboração presencial,,50”
Group vs Individual: Impact of TOUCH and TILT Cross-Device Interactions on Mixed-Focus Collaboration,2018,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,54”
CoDa: Collaborative Data Interpretation Through an Interactive Tangible Scatterplot,2020,Embutido,"Tokens tangíveis, Toque","Multi-touch, Tangibility, Touch",Colaboração presencial,,19”
Exploring spatial meaning with a tangible map,2017,Embutido,"Tokens tangíveis, Toque","Multi-touch, Tangibility, Touch",Colaboração presencial,,
A multimodal approach to examining 'embodiment' in tangible learning environments,2013,Projetor inferior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,,
Code Weaver: A Tangible Programming Learning Tool with Mixed Reality Interface,2019,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Physical space and division of labor around a tabletop tangible simulation,2009,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Interactive 360-Degree Glasses-Free Tabletop 3D Display,2019,Projetor superior,"Eye-Tracking, Toque","Multi-touch, Touch",Colaboração presencial,,
Augmented reality and tangible user interfaces integration for enhancing the user experience,2012,Projetor inferior,Sensor infravermelho,Multi-touch,Colaboração presencial,,
