article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
MovemenTable: The Design of Moving Interactive Tabletops,2015,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
Tangible-Based Assessment of Collaborative Problem Solving,2014,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,58”
Tangible mixed reality for remote design review: a study understanding user perception and acceptance,2013,Headset,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Detecting interaction above digital tabletops using a single depth camera,2013,Projetor inferior,"Sensor infravermelho, Visão computacional","Gesture, Multi-touch, Touch",Colaboração presencial,,
Dynamic Tangible User Interface Palettes,2013,"Multi-Device, Projetor superior","Caneta, Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
Supporting Collaborative Decision in Architectural Design with Synchronous Collocated 4D Simulation and Natural User Interactions,2014,"Embutido, Multi-Device",Toque,"Multi-touch, Touch",Colaboração presencial,,
Evaluation of a Soft-Surfaced Multi-touch Interface,2013,Projetor inferior,"Sensor infravermelho, Visão computacional","Gesture, Multi-touch, Touch",Colaboração presencial,,
Towards Multimodal 3D Tabletop Interaction Using Sensor Equipped Mobile Devices,2012,"Multi-Device, Projetor inferior","Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Dynamic Spatial Positioning: Physical Collaboration around Interactive Table by Children in India,2013,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
Research on a Large Digital Desktop Integrated in a Traditional Environment for Informal Collaboration,2013,Projetor superior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Tangibility, Touch",Colaboração presencial,,
Communication Analysis of Remote Collaboration System with Arm Scaling Function,2013,Projetor inferior,"Sensor infravermelho, Visão computacional",Touch,Colaboração remota,,
Investigating Pointing Tasks across Angularly Coupled Display Areas,2013,Projetor inferior,"Sensor infravermelho, Visão computacional",Touch,Usuário único,,
Multimedia Framework for Application of Spatial Auditory Information to Learning Materials,2013,Projetor superior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
MARIO: Mid-Air Augmented RealityInteraction with Objects,2014,Projetor superior,"Sensor infravermelho, Visão computacional","Gesture, Tangibility",Usuário único,,
Collaborative Problem Solving with Objects: Physical Aspects of a Tangible Tabletop in Technology-based Assessment,2012,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,50”
A Tabletop Board Game Interface for Multi-user Interaction with a Storytelling System,2011,Projetor superior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Semiautomatic and User-Centered Orientation of Digital Artifacts on Multi-touch Tabletops,2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,83”
Stakeholder-Driven Collaborative Modeling of Subject-Oriented Business Processes,2012,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Effects of a Tabletop Interface on the Co-construction of Concept Maps,2011,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,50”
Interactive multi-user video retrieval systems,2011,Embutido,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
A Tabletop-Based Real-World-Oriented Interface,2011,Projetor superior,"Sensor infravermelho, Visão computacional",Touch,Usuário único,,
Mojo iCuisine: The Design and Implementation of an Interactive Restaurant Tabletop Menu,2011,Projetor superior,Toque,Touch,Colaboração presencial,,
Subject-Oriented Elicitation of Distributed Business Process Knowledge,2011,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Alerting Accidents with Ambiguity: A Tangible Tabletop Application for Safe and Independent Chemistry Experiments,2010,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
Future Dining Table: Dish Recommendation Based on Dining Activity Recognition,2010,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
The Collaborative Workspace: A Co-located Tabletop Device to Support Meetings,2009,Projetor superior,Caneta,Tangibility,Colaboração presencial,,
Vision-Based Projected Tabletop Interface for Finger Interactions,2007,Projetor superior,Visão computacional,Touch,Usuário único,,
Presenting a Large Urban Area in a Virtual Maquette: An Integrated 3D Model with a ‘Tangible User Interface’,2005,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Visualization and User-Modeling for Browsing Personal Photo Libraries,2004,Projetor superior,Caneta,Tangibility,Colaboração presencial,,
